"Date","Input 1","Input 2","Share price"
"41353.0","-0.023881188118811625","0.03370242782638674","10.1"
"41354.0","-0.02950607448715382","0.03326618542872897","10.042"
"41355.0","-0.04312506308670631","0.03346291753386263","9.907"
"41358.0","-0.05304485219164116","0.03440504926556866","9.81"
"41359.0","-0.048305411716925685","0.03499927410992433","9.849"
"41360.0","-0.04162208539416592","0.035230591338252126","9.907"
"41361.0","-0.04736318407960224","0.03568405360766327","9.849"
"41366.0","-0.03701860231272013","0.0354824515723114","9.945"
"41367.0","-0.03664856711915561","0.035438405263991286","9.945"
"41369.0","-0.08120369398677794","0.03683101075015158","9.529"
"41372.0","-0.07611935618729158","0.0378088392005707","9.568"
"41373.0","-0.06364792226586793","0.03758644902179577","9.674"
"41374.0","-0.06111409119042761","0.037214301649491216","9.693999999999999"
"41375.0","-0.06511962713619915","0.03671383135285334","9.655"
"41376.0","-0.07323867195656752","0.036417913275391","9.578"
"41379.0","-0.09833564938535551","0.037114536692547266","9.355"
"41380.0","-0.11831935519006664","0.038753808561096975","9.181"
"41381.0","-0.1330900055218114","0.04080993763759507","9.055"
"41382.0","-0.13823692683468422","0.0427152780118519","9.007"
"41383.0","-0.11818925998690227","0.04315800259771971","9.162"
"41386.0","-0.1116894679695981","0.04339406040570203","9.21"
"41387.0","-0.12381480667838311","0.04380455444620532","9.104"
"41388.0","-0.10544383176559617","0.04384133295367083","9.249"
"41389.0","-0.08997866666666672","0.04404791998204948","9.375"
"41390.0","-0.0688051893701612","0.043852783682366385","9.558"
"41393.0","-0.0737423764458465","0.04349591589864027","9.51"
"41394.0","-0.06904283171012676","0.04331252295407155","9.549"
"41396.0","-0.09170447250160499","0.04340789907817609","9.346"
"41397.0","-0.10573210412147505","0.0437351001744495","9.22"
"41400.0","-0.0825358546690746","0.04371029322758104","9.413"
"41401.0","-0.05614515292897877","0.04351955187861397","9.645"
"41402.0","-0.025954060044328136","0.04285325077938315","9.926"
"41403.0","-0.02753103865953369","0.04235333601325156","9.907"
"41404.0","-0.02515514809590984","0.04178388202184799","9.926"
"41407.0","-0.04495376078914942","0.04100563241206718","9.732"
"41408.0","-0.050538556956791464","0.04052288422436373","9.674"
"41409.0","-0.047593356715494174","0.04007436038013928","9.693999999999999"
"41410.0","-0.06903171425561054","0.03942936382673677","9.491"
"41414.0","-0.05514728843551576","0.039056675657853306","9.607"
"41415.0","-0.06597263157894717","0.03892526058788819","9.5"
"41416.0","-0.07683734298488393","0.0387120777910187","9.394"
"41417.0","-0.1071599254631152","0.038544207427581016","9.123"
"41418.0","-0.10319733099978136","0.03824167859327363","9.142"
"41421.0","-0.09567402894135577","0.037195442170516346","9.191"
"41422.0","-0.08846303712523008","0.03559102108442979","9.239"
"41423.0","-0.11946699375557553","0.03464170205767591","8.968"
"41424.0","-0.1211723906477236","0.034177643601773756","8.939"
"41425.0","-0.1437674365424195","0.03441510770409602","8.746"
"41428.0","-0.1464683587917769","0.03482250299596654","8.707"
"41429.0","-0.13512592592592607","0.035169258024314816","8.775"
"41430.0","-0.14154703112438266","0.035688893520828165","8.707"
"41431.0","-0.14810163213334906","0.036051401117937566","8.639"
"41432.0","-0.1509138472270668","0.03652277492180546","8.600999999999999"
"41435.0","-0.16161923800564454","0.03760052906154224","8.504"
"41436.0","-0.1791075487498508","0.03944365383921517","8.359"
"41438.0","-0.22294937181241464","0.04322629864062424","8.039"
"41439.0","-0.22545681789776295","0.046437955584670156","8.001"
"41442.0","-0.186686885842533","0.047592428216852826","8.243"
"41443.0","-0.17440673886883273","0.047906269199166046","8.31"
"41444.0","-0.1965388397246805","0.048793870371541065","8.136"
"41445.0","-0.22067278672032192","0.05129266572500855","7.952"
"41446.0","-0.2334527147591128","0.05402749711622749","7.846"
"41449.0","-0.26061421850496597","0.05753314091783473","7.652"
"41450.0","-0.26439900052603893","0.06071967056557178","7.604"
"41451.0","-0.2445279833787819","0.06273422679872659","7.701"
"41452.0","-0.23762953367875664","0.06438415502198205","7.72"
"41453.0","-0.19374890364615965","0.06497296407548869","7.981"
"41457.0","-0.1164270613107823","0.06497857253877","8.514"
"41458.0","-0.11376908621094702","0.06499857820477774","8.514"
"41459.0","-0.0916370558375636","0.06515912951760865","8.668"
"41460.0","-0.08800414842129502","0.06536539829530157","8.678"
"41463.0","-0.09430429732868768","0.06548195796884076","8.61"
"41464.0","-0.08263121546961327","0.06574722513629067","8.688"
"41465.0","-0.06442139861725026","0.06622735372276367","8.823"
"41466.0","-0.0367167808976344","0.06717402342725388","9.046"
"41467.0","-0.0465158118225499","0.06759888340529933","8.949"
"41470.0","-0.05296025222384849","0.06795524207350978","8.881"
"41471.0","-0.05821489289357352","0.06813830720257151","8.823"
"41472.0","-0.04867393993926423","0.06877235728153965","8.891"
"41473.0","-0.041744042957824946","0.06962007922714201","8.939"
"41474.0","-0.040120818883543755","0.07031362183298363","8.939"
"41477.0","-0.03411561595009992","0.07076812748997999","8.978"
"41478.0","-0.01424086633121824","0.071090053169318","9.142"
"41479.0","-0.03338207389217512","0.07094660918943933","8.959"
"41480.0","-0.03757687991021295","0.07064368077557773","8.91"
"41481.0","-0.032782190401610664","0.07091478214324212","8.939"
"41484.0","-0.042448541054059756","0.07107659281840945","8.842"
"41485.0","-0.03194506726457382","0.07141699123265309","8.92"
"41486.0","-0.047574928774928346","0.07176821130782692","8.775"
"41487.0","-0.0370311793944865","0.07212285119004719","8.852"
"41488.0","-0.030882915307613872","0.07277727656839304","8.891"
"41491.0","-0.03599796218725163","0.07343451553049736","8.833"
