Date,Input 1,Input 2,Share price
41353.0,0.0,0.0,52.555
41354.0,0.0,0.0,50.476
41355.0,0.0,0.0,49.076
41358.0,0.0,0.0,48.156
41359.0,0.0,0.0,49.676
41360.0,0.0,0.0,50.116
41361.0,0.0,0.0,49.356
41366.0,0.0,0.0,48.556
41367.0,0.0,0.0,48.556
41369.0,0.0,0.0,47.436
41372.0,0.0,0.0,48.236
41373.0,0.0,0.0,49.516
41374.0,0.0,0.0,49.876
41375.0,0.0,0.0,50.076
41376.0,0.0,0.0,49.996
41379.0,0.0,0.0,49.196
41380.0,0.0,0.0,48.916
41381.0,0.0,0.0,49.996
41382.0,0.0,0.0,49.436
41383.0,0.0,0.0,50.596
41386.0,0.0,0.0,50.996
41387.0,0.0,0.0,50.316
41388.0,0.0,0.0,50.876
41389.0,0.0,0.0,51.116
41390.0,0.0,0.0,51.795
41393.0,0.0,0.0,52.395
41394.0,0.0,0.0,53.235
41396.0,0.0,0.0,54.675
41397.0,0.0,0.0,54.195
41400.0,0.0,0.0,54.955
41401.0,0.0,0.0,55.035
41402.0,0.0,0.0,54.915
41403.0,0.0,0.0,54.755
41404.0,0.0,0.0,55.355
41407.0,0.0,0.0,53.755
41408.0,0.0,0.0,53.955
41409.0,0.0,0.0,54.875
41410.0,0.0,0.0,58.435
41414.0,0.0,0.0,61.875
41415.0,0.0,0.0,60.795
41416.0,0.0,0.0,60.595
41417.0,0.0,0.0,58.555
41418.0,0.0,0.0,59.875
41421.0,0.0,0.0,60.075
41422.0,0.0,0.0,60.835
41423.0,0.0,0.0,60.715
41424.0,0.0,0.0,61.555
41425.0,0.0,0.0,61.555
41428.0,0.0,0.0,60.635
41429.0,0.0,0.0,60.675
41430.0,0.0,0.0,60.075
41431.0,0.0,0.0,60.035
41432.0,0.0,0.0,59.955
41435.0,0.0,0.0,61.035
41436.0,0.0,0.0,60.955
41438.0,0.0,0.0,59.555
41439.0,0.0,0.0,60.155
41442.0,0.0,0.0,60.195
41443.0,0.0,0.0,60.115
41444.0,0.0,0.0,59.915
41445.0,0.0,0.0,58.035
41446.0,0.0,0.0,57.155
41449.0,0.0,0.0,55.715
41450.0,0.0,0.0,56.675
41451.0,0.0,0.0,58.075
41452.0,0.0,0.0,59.555
41453.0,0.0,0.0,60.835
41457.0,0.0,0.0,60.355
41458.0,0.0,0.0,59.755
41459.0,0.0,0.0,61.275
41460.0,0.0,0.0,61.675
41463.0,0.0,0.0,60.475
41464.0,0.0,0.0,60.275
41465.0,0.0,0.0,60.875
41466.0,0.0,0.0,62.155
41467.0,0.0,0.0,61.955
41470.0,0.0,0.0,64.274
41471.0,0.0,0.0,65.954
41472.0,0.0,0.0,65.994
41473.0,0.0,0.0,65.554
41474.0,0.0,0.0,66.754
41477.0,0.0,0.0,65.514
41478.0,0.0,0.0,66.514
41479.0,0.0,0.0,66.154
41480.0,0.0,0.0,66.874
41481.0,0.0,0.0,69.474
41484.0,0.0,0.0,69.914
41485.0,0.0,0.0,72.714
41486.0,0.0,0.0,70.354
41487.0,0.0,0.0,72.114
41488.0,0.0,0.0,72.034
41491.0,0.0,0.0,74.194
