Date,Input 1,Input 2,Share price
41408.0,0.030625335928088165,0.050265488925721274,53.955
41409.0,0.04609749430523896,0.05070404276580286,54.875
41410.0,0.10286318131256939,0.05267880400051555,58.435
41414.0,0.1508722424242423,0.0566939965568751,61.875
41415.0,0.13399177563944373,0.059353830365298975,60.795
41416.0,0.12939087383447445,0.06161015160199565,60.595
41417.0,0.09757749124754458,0.06249942505589262,58.555
41418.0,0.11578889352818332,0.06390573064568926,59.875
41421.0,0.11698160632542631,0.0650213000281409,60.075
41422.0,0.12611292841291974,0.06661015478987278,60.835
41423.0,0.12254121716215063,0.06819304564670683,60.715
41424.0,0.1326374786776049,0.07006675379683552,61.555
41425.0,0.13072715457720688,0.07188381918883636,61.555
41428.0,0.11602721200626646,0.07322755363722211,60.635
41429.0,0.11516621343222026,0.07451744447597519,60.675
41430.0,0.1049573033707859,0.07535572780274181,60.075
41431.0,0.1028753227284078,0.07617905045155886,60.035
41432.0,0.10020398632307509,0.0763880651325787,59.955
41435.0,0.11442188908003531,0.07614945732972235,61.035
41436.0,0.11157329177261857,0.07508717652952078,60.955
41438.0,0.08925799680967109,0.07441224941376805,59.555
41439.0,0.09681273377109081,0.07397614951524187,60.155
41442.0,0.09599086302849019,0.07302594193027873,60.195
41443.0,0.09367661981202666,0.0713824035273265,60.115
41444.0,0.08957639989985769,0.06953465753556347,59.915
41445.0,0.05940156801929832,0.06627287881494794,58.035
41446.0,0.04431055900621093,0.06358608028052036,57.155
41449.0,0.019265368392712732,0.062014649007936525,55.715
41450.0,0.03536956329951442,0.060505558280724445,56.675
41451.0,0.057948687042617034,0.05899360985871036,58.075
41452.0,0.0803319620518845,0.057422818562190704,59.555
41453.0,0.09848557573765085,0.055251924450626565,60.835
41457.0,0.09016933145555447,0.0524899501061091,60.355
41458.0,0.08009656095724205,0.0504043564845786,59.755
41459.0,0.10177348021215833,0.04773975161530276,61.275
41460.0,0.10630839075800569,0.04594347552299041,61.675
41463.0,0.0874637453493181,0.04409352238186228,60.475
41464.0,0.08324131065947751,0.04138621296636264,60.275
41465.0,0.0910483778234087,0.03901229185962936,60.875
41466.0,0.10851854235379296,0.03677876888399296,62.155
41467.0,0.10437527237511116,0.03487730705414886,61.955
41470.0,0.1351460932881104,0.0338858493190923,64.274
41471.0,0.15549610334475553,0.034011862619831926,65.954
41472.0,0.15434130375488703,0.034696295559773556,65.994
41473.0,0.14705448942856308,0.03475913988033052,65.554
41474.0,0.16067381729933827,0.035484138265148756,66.754
41477.0,0.1430843789113779,0.03554717237125242,65.514
41478.0,0.15391707009050726,0.035738329215112184,66.514
41479.0,0.14731762251715702,0.03552553813357515,66.154
41480.0,0.15448245955079715,0.03566667294043887,66.874
41481.0,0.18373017243861026,0.03569814183544503,69.474
41484.0,0.18653889063706858,0.03571463485593721,69.914
41485.0,0.2152500206287649,0.03747965080160241,72.714
41486.0,0.18672001591949314,0.038830454334544136,70.354
41487.0,0.20420597942147173,0.04050131517386871,72.114
41488.0,0.20106227614737532,0.04215473710788011,72.034
41491.0,0.22185796695150597,0.04460494185492147,74.194
41492.0,0.2289503814253193,0.04706525014851933,75.113
41493.0,0.19381070050254073,0.04812754829819621,72.034
41494.0,0.18302564750119266,0.04884115283139012,71.274
41495.0,0.18309567115314676,0.0495267479874006,71.474
41498.0,0.20283896344285074,0.050691036652562145,73.474
41499.0,0.20585182582371553,0.05187252200203988,73.994
41501.0,0.19868752887463656,0.05279340159725022,73.594
41502.0,0.19269743841558212,0.05347715342901607,73.314
41505.0,0.19764743226085318,0.0542178323014508,74.034
41506.0,0.18091394895183657,0.05447368527600203,72.794
41507.0,0.16862891352057116,0.054487688162396644,71.994
41508.0,0.16531780426146644,0.05439932549945366,71.994
41509.0,0.1524455406582907,0.05434292468399779,71.154
41512.0,0.15184474591473518,0.05424613360329038,71.354
41513.0,0.160846893388955,0.05386796049738777,72.394
41514.0,0.14399823118173907,0.05351485781625175,71.234
41515.0,0.15395955994139912,0.05315508740642722,72.354
41516.0,0.15467186511538342,0.05272839068401157,72.714
